IBSswitch,RFswitch,aatomb1,aatomb2,alint,bane,betatronSwitch,betaxMom,blen1,blen2,blen3,blen4,blowupMethod,blowupSwitch,bunchLenPrecis,chromx1,chromx2,chromy1,chromy2,circ,collRoutine,collimAvgSwitch,collimationSwitch,collisionSwitch,coordfn1,coordfn2,coordfn3,coordfn4,coulombLog,coupleIBS,cutoffAmpl,dispxMom,dqmin1,dqmin2,emitMethod,ex1,ex2,ex3,ex4,ey1,ey2,ey3,ey4,fracibstot,gamma1,gamma2,gammat,ibsMethod,intfile,ion,ips_leveling,ips_leveling_values,k2L1,k2L2,k2Lskew1,k2Lskew2,longIntBins,longcoor,nMacro,nSigCutBeta,nSigCutMom,nbins,nharm2b1,nharm2b2,nharmb1,nharmb2,npart1,npart2,npart3,npart4,nturns,nwrite,piwinski,power,proton,pxKickFac,pyKickFac,qatomb1,qatomb2,radMethod,raddampSwitch,refEmxy,rho0,rmsDelta1,rmsDelta2,sigI,siglong,sigperp,tauhat1,tauhat2,tfsb1,tfsb2,thib,timeRatio,tradlong,tradperp,transcoor,tunex1,tunex2,tuney1,tuney2,vrf2b1,vrf2b2,vrfb1,vrfb2,writeAllCoordSwitch,writeMountSwitch
1.0,1.0,208.0,1.0,5.0,/home/roderik/My_CERN_work/bane-ibs/gBaneTab.dat,1.0,131.7,0.075,0.075,0.0825,0.0681818181818,unSum,0.0,0.01,1.94,1.94,2.0,2.0,26658.8832,6a,0.0,1.0,1.0,startCoord.dat,startCoord.dat,startCoord.dat,startCoord.dat,20.0,0.0,12.0,2.15,0.0,0.0,stdev,5.45204056798e-10,3.60873877423e-10,3.28067161294e-10,3.96961265165e-10,5.45204056798e-10,3.60873877423e-10,3.78917571294e-10,3.4368940707e-10,1.0,2751.26346053,6927.62806178,55.7,nagaitsev,interpolate.dat,193.729174849,"{'IP2': True, 'IP8': False, 'IP1': False, 'IP5': False}",{'IP2': 2.27e+24},1.94,1.94,2.0,2.0,100.0,3.0,20000.0,12.0,10.0,500.0,35640.0,35640.0,360.0,360.0,210000000.0,210000000.0,231000000.0,190909090.909,10000.0,100.0,/home/roderik/My_CERN_work/piwinski-ibs/ibs-rates-LHC-collision.dat,0.75,0.9382720813,0.02,0.0,82.0,1.0,lattic,1.0,5.06158e-10,2784.32,0.0001137,0.0001137,2.0,4.64e-12,7.43e-08,1.25e-09,1.25e-09,lhcb1-optics.tfs,lhcb2-optics.tfs,2.5e-09,20000.0,23519.0,47072.0,2.0,64.31,64.31,60.32,60.32,-14000000.0,-12000000.0,0.0,0.0,0.0,0.0
1.0,1.0,208.0,1.0,5.0,/home/roderik/My_CERN_work/bane-ibs/gBaneTab.dat,1.0,131.7,0.075,0.075,0.0825,0.0681818181818,unSum,0.0,0.01,1.94,1.94,2.0,2.0,26658.8832,6a,0.0,1.0,1.0,startCoord.dat,startCoord.dat,startCoord.dat,startCoord.dat,20.0,0.0,12.0,2.15,0.0,0.0,stdev,5.45204056798e-10,3.60873877423e-10,3.28067161294e-10,3.96961265165e-10,5.45204056798e-10,3.60873877423e-10,3.78917571294e-10,3.4368940707e-10,1.0,2751.26346053,6927.62806178,55.7,nagaitsev,interpolate.dat,193.729174849,"{'IP2': True, 'IP8': False, 'IP1': False, 'IP5': False}",{'IP2': 2.27e+24},1.94,1.94,2.0,2.0,100.0,3.0,10000.0,12.0,10.0,500.0,35640.0,35640.0,360.0,360.0,210000000.0,210000000.0,231000000.0,190909090.909,5000.0,100.0,/home/roderik/My_CERN_work/piwinski-ibs/ibs-rates-LHC-collision.dat,0.75,0.9382720813,0.02,0.0,82.0,1.0,lattic,1.0,5.06158e-10,2784.32,0.0001137,0.0001137,2.0,4.64e-12,7.43e-08,1.25e-09,1.25e-09,lhcb1-optics.tfs,lhcb2-optics.tfs,2.5e-09,20000.0,23519.0,47072.0,2.0,64.31,64.31,60.32,60.32,-14000000.0,-12000000.0,0.0,0.0,0.0,0.0
