sim.turn,t(hours),L(cm^-2 s^-1),red factor,betas
100.0,0.04940248245,1.16057405888e+25,0.845407938006,0.6000000763
200.0,0.0988049648999,1.14832742927e+25,0.8457092264,0.6000000763
300.0,0.14820744735,1.12817010293e+25,0.841668692173,0.6000000763
400.0,0.1976099298,1.11132140393e+25,0.842207118687,0.6000000763
500.0,0.24701241225,1.10147347202e+25,0.843974952738,0.6000000763
600.0,0.2964148947,1.09008316066e+25,0.841715318586,0.6000000763
700.0,0.34581737715,1.08034204179e+25,0.842150060478,0.6000000763
800.0,0.3952198596,1.07054764932e+25,0.842992541301,0.6000000763
900.0,0.44462234205,1.05508811868e+25,0.838235292174,0.6000000763
1000.0,0.4940248245,1.04759443756e+25,0.841181521287,0.6000000763
1100.0,0.543427306949,1.03144509786e+25,0.835450610868,0.6000000763
1200.0,0.592829789399,1.01667599856e+25,0.836411108731,0.6000000763
1300.0,0.642232271849,1.01576288824e+25,0.843776816662,0.6000000763
1400.0,0.691634754299,9.92503511992e+24,0.836777494175,0.6000000763
1500.0,0.741037236749,9.79204351862e+24,0.834883992356,0.6000000763
1600.0,0.790439719199,9.77386557611e+24,0.841889368562,0.6000000763
1700.0,0.839842201649,9.65354010641e+24,0.837574430262,0.6000000763
1800.0,0.889244684099,9.54822354853e+24,0.83482653069,0.6000000763
1900.0,0.938647166549,9.53374233368e+24,0.838497023007,0.6000000763
2000.0,0.988049648999,9.42311652386e+24,0.835957307501,0.6000000763
2100.0,1.03745213145,9.29489569423e+24,0.835303949936,0.6000000763
2200.0,1.0868546139,9.2760075708e+24,0.840814953715,0.6000000763
2300.0,1.13625709635,9.1696987161e+24,0.838155452102,0.6000000763
2400.0,1.1856595788,9.05492836643e+24,0.834297617807,0.6000000763
2500.0,1.23506206125,8.9619867658e+24,0.839608518565,0.6000000763
2600.0,1.2844645437,8.8505904661e+24,0.835823810598,0.6000000763
2700.0,1.33386702615,8.77701863597e+24,0.834563966457,0.6000000763
2800.0,1.3832695086,8.8090226587e+24,0.843522845652,0.6000000763
2900.0,1.43267199105,8.63885986357e+24,0.834239588477,0.6000000763
3000.0,1.4820744735,8.55586677479e+24,0.831646396068,0.6000000763
3100.0,1.53147695595,8.617536759e+24,0.844825334829,0.6000000763
3200.0,1.5808794384,8.49102899007e+24,0.836257162302,0.6000000763
3300.0,1.63028192085,8.31804554243e+24,0.82938914146,0.6000000763
3400.0,1.6796844033,8.35672264977e+24,0.840341089583,0.6000000763
3500.0,1.72908688575,8.23549978181e+24,0.837111199875,0.6000000763
3600.0,1.7784893682,8.12568836957e+24,0.833609989405,0.6000000763
3700.0,1.82789185065,8.10984150731e+24,0.836660564919,0.6000000763
3800.0,1.8772943331,8.01221139414e+24,0.836201390442,0.6000000763
3900.0,1.92669681555,7.95953029437e+24,0.836717170334,0.6000000763
4000.0,1.976099298,7.92478289e+24,0.839691567868,0.6000000763
4100.0,2.02550178045,7.82391174354e+24,0.836508672234,0.6000000763
4200.0,2.0749042629,7.73392733895e+24,0.835197917526,0.6000000763
4300.0,2.12430674535,7.70891357534e+24,0.838468971379,0.6000000763
4400.0,2.1737092278,7.6623160323e+24,0.837008303652,0.6000000763
4500.0,2.22311171025,7.60440421467e+24,0.837122770735,0.6000000763
4600.0,2.2725141927,7.54254476974e+24,0.835543268486,0.6000000763
4700.0,2.32191667515,7.51286088046e+24,0.837212474042,0.6000000763
4800.0,2.3713191576,7.48997533958e+24,0.840646645458,0.6000000763
4900.0,2.42072164005,7.37117764582e+24,0.835334855623,0.6000000763
5000.0,2.4701241225,7.32646196986e+24,0.835043377875,0.6000000763
